identifier,n_unique_mols,median_intra_sim,f50
EN10412_1,9696,0.5603864734299517,0.016224188790560472
EN10507_1,9412,0.6428571428571429,0.08608695652173913
EN10558_1,9946,0.5480769230769231,0.08169713382983525
EN10571_1,10000,0.591715976331361,0.007566204287515763
EN10726_1,9814,0.41129032258064524,0.056179775280898875
EN1111_1,9981,0.39,0.033753835663143536
EN11303_1,10000,0.7330960854092526,0.02805755395683453
EN11510_1,9965,0.579185520361991,0.04693802713604694
EN11789_1,6992,0.6205357142857143,0.05387205387205387
EN1286_1,9974,0.4545454545454546,0.013513513513513514
EN1310_1,10000,0.4311926605504588,0.36599898580121704
EN13337_1,9723,0.6187845303867403,0.005249343832020997
EN1333_1,9994,0.4471153846153846,0.08492922564529559
EN13369_1,9998,0.6146788990825688,0.02389843166542196
EN13822_1,9238,0.45783132530120474,0.01987110633727175
EN1450_1,10000,0.5337837837837838,0.0136986301369863
EN14596_1,10000,0.4764150943396226,0.08455522971652003
EN14813_1,9718,0.6636771300448431,0.01524390243902439
EN14921_1,10000,0.5891891891891892,0.020708082832331328
EN15029_1,9761,0.6704119850187266,0.01740976645435244
EN15134_1,9709,0.5666666666666667,0.022821576763485476
EN15679_1,9985,0.5266666666666666,0.024957458876914352
EN15881_1,9985,0.5,0.06053639846743295
EN16033_1,10000,0.5310734463276836,0.04135021097046414
EN16237_1,9954,0.47867298578199047,0.07612872238232468
EN16316_1,9997,0.36567164179104483,0.06292428198433421
EN16364_1,9996,0.5686274509803921,0.012016021361815754
EN16401_1,9998,0.6468253968253969,0.036902800658978586
EN16611_1,9788,0.6260869565217392,0.009530791788856305
EN1669_1,9633,0.5724381625441696,0.07588075880758807
EN16700_1,9443,0.6368876080691642,0.11244094488188977
EN16737_1,8712,0.6318407960199005,0.005226480836236934
EN17081_1,9998,0.5392156862745098,0.07027463651050081
EN17108_1,9999,0.5757575757575758,0.03173828125
EN17372_1,9888,0.5665024630541872,0.01818181818181818
EN17751_1,9591,0.5125628140703518,0.022147327876745306
EN17795_1,9196,0.5172413793103449,0.041916167664670656
EN18190_1,9976,0.5981308411214953,0.015042511445389144
EN18266_1,9947,0.6422764227642277,0.4055927342256214
EN18290_1,9905,0.7746113989637305,0.08783029400818756
EN18740_1,9846,0.6818181818181818,0.02265705458290422
EN18889_1,9962,0.5941558441558441,0.14407565362506952
EN19015_1,8941,0.5185185185185185,0.024271844660194174
EN1912_1,9999,0.5212121212121212,0.0857307249712313
EN19139_1,9953,0.47058823529411764,0.027709054923305294
EN19659_1,9997,0.5163398692810458,0.03402061855670103
EN19734_1,9185,0.5573770491803278,0.04921259842519685
EN19784_1,8755,0.5578947368421052,0.0847457627118644
EN19801_1,9889,0.44252873563218387,0.10352886188361766
EN19861_1,9776,0.410958904109589,0.031729055258467025
EN1993_1,9986,0.5867346938775511,0.026200873362445413
EN20878_1,9999,0.4370860927152318,0.07832644125516906
EN20884_1,9790,0.6020942408376964,0.01973419250906162
EN20900_1,9998,0.625531914893617,0.12360939431396786
EN21133_1,9516,0.6553398058252428,0.01195814648729447
EN21371_1,9992,0.5217391304347826,0.1541550279329609
EN21510_1,9993,0.3930635838150289,0.07671899181958877
EN21535_1,8936,0.5885416666666666,0.028894472361809045
EN2164_1,9983,0.6138613861386139,0.07565643079661771
EN21671_1,9981,0.4976744186046511,0.15141776937618148
EN21726_1,9963,0.46341463414634143,0.04060102301790281
EN21886_1,9192,0.5268817204301075,0.038461538461538464
EN22605_1,9382,0.5786802030456852,0.012330456226880395
EN22698_1,9998,0.4,0.08211018932142097
EN23553_1,9994,0.5612244897959183,0.06435778565584947
EN23577_1,9727,0.6454545454545455,0.04158283031522468
EN23710_1,9833,0.5772357723577236,0.06043110084680523
EN23821_1,9933,0.5758928571428571,0.03732718894009217
EN24292_1,7510,0.7195571955719557,0.08316008316008316
EN25794_1,9977,0.6,0.012444444444444444
EN25873_1,9996,0.6066350710900474,0.04991587212563096
EN25915_1,9948,0.5474137931034483,0.00968783638320775
EN25929_1,9996,0.47857142857142865,0.022533022533022532
EN2611_1,9793,0.6157407407407407,0.1833648393194707
EN26526_1,9103,0.55,0.036404160475482915
EN26565_1,9953,0.381578947368421,0.07137672392934914
EN26744_1,9998,0.37628865979381443,0.039927404718693285
EN26806_1,9813,0.4683544303797469,0.01768172888015717
EN26950_1,9011,0.688,0.006693440428380187
EN27279_1,10000,0.5025125628140703,0.048337332876242714
EN2762_1,8499,0.6179775280898876,0.031180400890868598
EN2780_1,9999,0.5614035087719298,0.41513627324833313
EN3087_1,9950,0.5238095238095238,0.0430939226519337
EN3298_1,10000,0.5707070707070707,0.010752688172043012
EN3723_1,10000,0.5475285171102662,0.05890753302392003
EN3859_1,9055,0.587378640776699,0.04040404040404041
EN4028_1,8544,0.6162162162162163,0.021398002853067047
EN4505_1,10000,0.5876288659793815,0.021202641640597843
EN5723_1,10000,0.673469387755102,0.009879253567508232
EN5738_1,9992,0.5477707006369427,0.016496018202502846
EN6061_1,10000,0.6051502145922747,0.031151419558359622
EN6363_1,8839,0.49411764705882355,0.0255
EN6528_1,9438,0.668918918918919,0.044105854049719326
EN7172_1,9983,0.5441176470588235,0.05890804597701149
EN7424_1,10000,0.5246913580246914,0.05499276410998553
EN8961_1,10000,0.43243243243243246,0.05224065362713543
EN9354_1,9312,0.49375,0.03626943005181347
EN93_1,9997,0.4225352112676056,0.1456344998232591
EN9803_1,9962,0.47959183673469385,0.05149789551869274
EN9951_1,9029,0.6832579185520362,0.034635224760501106
CHEMBL301,1789,0.45848375451263546,0.10844892812105927
